Name,Bitrate,width,height,spatial_info,temporal_info,fps,entropy,Label
factory_1080p30-Scene-017,99.33446668991978,1920,1080,42.41247856917012,122.86149348205014,30.0,6.715828,5.0
sita_sings_the_blues_720p24-Scene-0201,7.459691932,1280,720,76.96254005,76.30886221,24.0,4.081213474,2.0
sita_sings_the_blues_720p24-Scene-0202,16.404832,1280,720,67.82040683,93.13271976,24.0,4.90894556,5.0
sita_sings_the_blues_720p24-Scene-0203,6.566912,1280,720,92.32312865,58.01028753,24.0,4.296629906,2.0
sita_sings_the_blues_720p24-Scene-0204,5.7652992,1280,720,82.14714337,0.0,24.0,3.632357597,3.0
sita_sings_the_blues_720p24-Scene-0205,2.720513167,1280,720,98.93005872,68.97044616,24.0,4.438383102,1.0
sita_sings_the_blues_720p24-Scene-0206,15.33250188,1280,720,109.9960501,91.92676959,24.0,3.889763117,4.0
sita_sings_the_blues_720p24-Scene-0207,9.245989674,1280,720,105.1213694,77.40590158,24.0,4.125019073,3.0
sita_sings_the_blues_720p24-Scene-0208,15.94843504,1280,720,86.77990872,87.49080536,24.0,6.256341934,4.0
sita_sings_the_blues_720p24-Scene-0209,29.20876,1280,720,84.45594729,98.52091752,24.0,4.00851202,5.0
sita_sings_the_blues_720p24-Scene-0210,72.31745847,1280,720,83.53670585,102.0778797,24.0,3.888904095,5.0
sita_sings_the_blues_720p24-Scene-0211,13.16936027,1280,720,81.60247051,96.56570645,24.0,4.021893501,4.0
sita_sings_the_blues_720p24-Scene-0212,38.06531733,1280,720,92.97779081,125.7796533,24.0,6.638079643,4.0
sita_sings_the_blues_720p24-Scene-0213,64.56846478,1280,720,91.53446992,122.0315414,24.0,6.716069221,5.0
sita_sings_the_blues_720p24-Scene-0214,34.23787556,1280,720,107.1156717,110.4667875,24.0,6.539182186,6.0
sita_sings_the_blues_720p24-Scene-0215,51.99068551,1280,720,112.334522,120.8213895,24.0,6.876188278,4.0
sita_sings_the_blues_720p24-Scene-0216,118.6642278,1280,720,102.3767738,116.894392,24.0,6.643871307,6.0
sita_sings_the_blues_720p24-Scene-0217,114.1336654,1280,720,98.82841828,124.7542338,24.0,6.76911974,7.0
sita_sings_the_blues_720p24-Scene-0218,2.467888988,1280,720,83.35868716,8.761217456,24.0,6.856630802,1.0
sita_sings_the_blues_720p24-Scene-0219,4.509389998,1280,720,72.62001334,15.69825118,24.0,6.950986862,1.0
sita_sings_the_blues_720p24-Scene-0220,2.460291414,1280,720,86.56006136,8.991923545,24.0,6.852632523,1.0
sita_sings_the_blues_720p24-Scene-0221,48.33648334,1280,720,117.6407801,122.9760489,24.0,6.356734753,3.0
sita_sings_the_blues_720p24-Scene-0222,35.773408,1280,720,132.9447905,102.739681,24.0,5.160574436,3.0
sita_sings_the_blues_720p24-Scene-0223,25.05077058,1280,720,94.66385463,109.1341704,24.0,5.889003754,2.0
sita_sings_the_blues_720p24-Scene-0224,7.698004528,1280,720,94.99151666,95.36871539,24.0,6.295411587,2.0
sita_sings_the_blues_720p24-Scene-0225,7.094485333,1280,720,94.4507434,92.83232272,24.0,6.245809078,2.0
sita_sings_the_blues_720p24-Scene-0226,9.961484088,1280,720,112.4058408,95.19493128,24.0,6.249763012,2.0
sita_sings_the_blues_720p24-Scene-0227,34.43639911,1280,720,84.53946382,95.0692755,24.0,5.509402275,2.0
sita_sings_the_blues_720p24-Scene-0228,62.60361326,1280,720,123.7826218,104.5232149,24.0,5.988188267,6.0
sita_sings_the_blues_720p24-Scene-0229,56.75123988,1280,720,91.90583906,98.60310801,24.0,6.036921978,5.0
sita_sings_the_blues_720p24-Scene-0230,32.2517159,1280,720,112.1717914,111.3432139,24.0,5.764561176,3.0
sita_sings_the_blues_720p24-Scene-0231,15.59211671,1280,720,103.6761715,81.00623953,24.0,5.940297604,2.0
sita_sings_the_blues_720p24-Scene-0232,57.6960604,1280,720,114.1434052,89.71591048,24.0,6.259120464,5.0
sita_sings_the_blues_720p24-Scene-0233,56.59082548,1280,720,110.0542256,88.39893187,24.0,6.265336514,5.0
sita_sings_the_blues_720p24-Scene-0234,18.664614,1280,720,104.6732484,86.76495215,24.0,6.006235123,3.0
sita_sings_the_blues_720p24-Scene-0235,73.37178593,1280,720,125.4737863,99.1663445,24.0,6.472063541,5.0
sita_sings_the_blues_720p24-Scene-0236,72.43471568,1280,720,123.2649954,97.83947472,24.0,6.426679134,5.0
sita_sings_the_blues_720p24-Scene-0237,71.01776858,1280,720,122.2042519,98.01549547,24.0,6.384786129,5.0
sita_sings_the_blues_720p24-Scene-0238,74.42923886,1280,720,128.4631486,100.4109667,24.0,6.485154629,5.0
sita_sings_the_blues_720p24-Scene-0239,22.35017646,1280,720,129.4115682,90.8673298,24.0,6.489790916,4.0
sita_sings_the_blues_720p24-Scene-0240,43.79085265,1280,720,147.0992778,98.33879856,24.0,6.018519402,4.0
sita_sings_the_blues_720p24-Scene-0241,51.54474717,1280,720,143.4017449,94.70060539,24.0,6.259502411,3.0
sita_sings_the_blues_720p24-Scene-0242,17.32391221,1280,720,130.9032981,117.568912,24.0,5.543832302,3.0
sita_sings_the_blues_720p24-Scene-0243,15.88988523,1280,720,105.5152882,104.4436895,24.0,6.171938419,4.0
sita_sings_the_blues_720p24-Scene-0244,46.76136229,1280,720,96.70052773,101.1187087,24.0,5.821216583,3.0
sita_sings_the_blues_720p24-Scene-0245,46.48376533,1280,720,96.62846624,99.97635906,24.0,5.854848862,3.0
sita_sings_the_blues_720p24-Scene-0246,46.80239541,1280,720,99.87950744,102.7215179,24.0,5.766465664,3.0
sita_sings_the_blues_720p24-Scene-0247,47.6976684,1280,720,100.8366835,101.0246487,24.0,6.127235889,2.0
sita_sings_the_blues_720p24-Scene-0248,47.07412978,1280,720,95.23655908,100.8443979,24.0,6.066372395,4.0
sita_sings_the_blues_720p24-Scene-0249,50.68324669,1280,720,124.5297081,109.7585096,24.0,6.062417507,5.0
sita_sings_the_blues_720p24-Scene-0250,57.55817603,1280,720,133.3801441,109.7655767,24.0,5.778222084,6.0
sita_sings_the_blues_720p24-Scene-0252,50.23940268,1280,720,130.7542356,125.9783195,24.0,5.276900768,11.0
sita_sings_the_blues_720p24-Scene-0253,23.02523671,1280,720,110.9567844,95.17360053,24.0,5.466134548,9.0
sita_sings_the_blues_720p24-Scene-0254,29.54378617,1280,720,123.6137742,94.15668751,24.0,5.64586544,12.0
sita_sings_the_blues_720p24-Scene-0255,25.46509333,1280,720,118.3464346,89.87963216,24.0,5.053539753,8.0
sita_sings_the_blues_720p24-Scene-0256,22.16571324,1280,720,112.0478605,93.88354905,24.0,4.995442867,6.0
